DLY-TMIN-NORMAL,DLY-TMAX-NORMAL,MTD-PRCP-NORMAL,STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE
514,736,138,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100612
517,739,151,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100613
520,741,165,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100614
523,744,177,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100615
525,746,190,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100616
528,749,204,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100617
531,751,217,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100618
533,753,231,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100619
536,756,244,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100620
538,758,258,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100621
540,760,271,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100622
542,762,284,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100623
544,764,298,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100624
546,766,311,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100625
548,768,324,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100626
549,769,338,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100627
551,771,351,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100628
553,773,363,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100629
554,774,376,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100630
555,776,12,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100701
557,778,24,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100702
558,779,37,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100703
559,780,49,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100704
560,782,61,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100705
561,783,73,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100706
562,784,85,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100707
562,786,97,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100708
563,787,109,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100709
564,788,121,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100710
564,789,131,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100711
565,790,142,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100712
565,791,153,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100713
566,792,163,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100714
566,793,174,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100715
566,794,184,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100716
566,795,194,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100717
567,796,203,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100718
567,797,213,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100719
567,798,223,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100720
567,799,233,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100721
567,800,243,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100722
567,800,252,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100723
567,801,261,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100724
566,802,270,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100725
566,802,279,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100726
566,803,287,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100727
566,803,296,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100728
565,804,304,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100729
565,804,313,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100730
564,805,322,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100731
564,805,9,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100801
563,805,18,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100802
563,805,27,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100803
562,805,36,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100804
561,805,45,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100805
560,804,53,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100806
559,804,62,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100807
558,804,70,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100808
557,803,79,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100809
556,802,88,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100810
555,801,98,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100811
553,800,107,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100812
552,799,116,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100813
550,798,125,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100814
548,796,134,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100815
546,795,143,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100816
544,793,152,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100817
542,791,161,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100818
540,789,170,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100819
538,787,179,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100820
535,784,188,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100821
533,782,197,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100822
530,779,206,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100823
527,777,216,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100824
524,774,225,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100825
521,770,234,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100826
518,767,242,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100827
515,764,250,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100828
511,760,259,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100829
508,757,267,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100830
504,753,275,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100831
501,749,8,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100901
497,745,16,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100902
493,741,23,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100903
489,737,31,GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100904
